order_id,date,product,city,quantity,unit_price,currency,notes
2001,2026-06-02,Matcha,Montréal,1,8.30,EUR,
2002,2026-06-06,Latte,Lyon,2,6.80,EUR,
2003,2026-06-14,Matcha,NA,2,8.10,EUR,
2004,2026-06-08,Matcha,Lyon,1,8.50,EUR,
2005,2026-06-25,Cappuccino,Montréal,3,7.30,EUR,
2006,2026-06-07,Matcha,Montréal,1,8.40,EUR,
2007,2026-06-23,Matcha,Lyon,4,8.50,EUR,
2008,2026-06-08,Moka,Montréal,4,7.30,EUR,
2009,2026-06-25,Espresso,Paris,1,4.40,EUR,
2010,2026-06-03,Latte,Lyon,4,6.50,EUR,
2011,2026-06-13,Cappuccino,NA,4,7.40,EUR,
2012,2026-06-06,Matcha,Paris,1,8.40,EUR,
2013,2026-06-26,Matcha,Paris,4,8.50,EUR,
2014,2026-06-10,Matcha,Montréal,3,7.90,EUR,
2015,2026-06-22,Cappuccino,Montréal,1,7.00,EUR,
2016,2026-06-26,Moka,Paris,1,7.50,EUR,
2017,2026-06-16,Matcha,Montréal,4,8.40,EUR,
2018,2026-06-22,Moka,Montréal,2,7.60,EUR,
2019,2026-06-13,Espresso,NA,2,4.20,EUR,
2020,2026-06-06,Matcha,Montréal,1,8.20,EUR,
2021,2026-06-24,Cappuccino,Montréal,4,7.50,EUR,
2022,2026-06-30,Moka,Montréal,1,7.40,EUR,
2023,2026-06-08,Moka,Montréal,3,7.70,EUR,
2024,2026-06-07,Moka,Montréal,2,7.50,EUR,
2025,2026-06-27,Matcha,Lyon,4,8.20,EUR,
2026,2026-06-15,Matcha,Montréal,1,8.30,EUR,
2027,2026-06-25,Matcha,Montréal,2,8.40,EUR,
2028,2026-06-15,Moka,Paris,1,7.70,EUR,
2029,2026-06-23,Moka,Montréal,1,7.70,EUR,
2030,2026-06-24,Matcha,Montréal,3,8.00,EUR,
2031,2026-06-22,Matcha,Paris,1,8.00,EUR,
2032,2026-06-29,Latte,Montréal,2,6.60,EUR,
2033,2026-06-28,Espresso,Montréal,4,4.10,EUR,
2034,2026-06-09,Latte,Montréal,3,6.30,EUR,
2035,2026-06-06,Cappuccino,Lyon,1,7.50,EUR,
2036,2026-06-26,Espresso,Montréal,2,4.20,EUR,
2037,2026-06-21,Matcha,Montréal,2,8.10,EUR,
2038,2026-06-13,Matcha,Paris,1,8.00,EUR,
2039,2026-06-13,Matcha,Lyon,4,8.10,EUR,
2040,2026-06-26,Moka,Lyon,1,7.50,EUR,
2041,2026-06-04,Cappuccino,Lyon,3,7.20,EUR,
2042,2026-06-19,Espresso,Montréal,1,4.10,EUR,
2043,2026-06-11,Espresso,Paris,4,3.90,EUR,
2044,2026-06-03,Latte,Montréal,4,6.40,EUR,
2045,2026-06-27,Moka,Lyon,4,7.60,EUR,
2046,2026-06-01,Espresso,Paris,3,4.10,EUR,
2047,2026-06-10,Moka,Montréal,4,7.90,EUR,
2048,2026-06-20,Cappuccino,Montréal,1,7.10,EUR,
2049,2026-06-22,Matcha,Paris,2,8.40,EUR,
2050,2026-06-01,Moka,Lyon,4,7.80,EUR,
2051,2026-06-24,Matcha,Paris,3,8.30,EUR,
2052,2026-06-15,Espresso,Montréal,1,4.50,EUR,
2053,2026-06-15,Espresso,Lyon,3,4.00,EUR,
2054,2026-06-22,Matcha,Montréal,3,8.10,EUR,
2055,2026-06-30,Matcha,NA,2,8.20,EUR,
2056,2026-06-29,Matcha,NA,3,8.20,EUR,
2057,2026-06-07,Latte,Lyon,3,6.70,EUR,
2058,2026-06-12,Espresso,Lyon,3,3.90,EUR,
2059,2026-06-29,Matcha,Montréal,3,8.20,EUR,
2060,2026-06-17,Matcha,Montréal,4,8.30,EUR,
2061,2026-06-09,Moka,Paris,1,7.40,EUR,
2062,2026-06-05,Espresso,Montréal,2,4.10,EUR,
2063,2026-06-09,Matcha,Lyon,2,8.00,EUR,
2064,2026-06-27,Latte,Lyon,3,6.80,EUR,
2065,2026-06-01,Latte,Montréal,1,6.50,EUR,
2066,2026-06-05,Cappuccino,Montréal,4,7.30,EUR,
2067,2026-06-02,Latte,NA,1,6.30,EUR,
2068,2026-06-29,Cappuccino,Montréal,1,7.00,EUR,
2069,2026-06-23,Matcha,Montréal,2,8.50,EUR,
2070,2026-06-02,Moka,Montréal,1,7.60,EUR,
2071,2026-06-22,Matcha,Paris,1,8.20,EUR,
