date,kwh,temperature
2025-09-01,220.8,9.2
2025-09-02,220.5,10.2
2025-09-03,214.6,9.8
2025-09-04,214.4,10.3
2025-09-05,220.1,9.8
2025-09-06,183.6,11.6
2025-09-07,182.8,9.4
2025-09-08,219.7,10.4
2025-09-09,220.8,10.9
2025-09-10,214.9,10.5
2025-09-11,219.1,9.0
2025-09-12,219.8,9.1
2025-09-13,185.0,9.3
2025-09-14,180.8,12.4
2025-09-15,223.0,9.5
2025-09-16,219.1,12.9
2025-09-17,219.1,12.9
2025-09-18,217.3,11.6
2025-09-19,217.8,10.2
2025-09-20,188.1,12.5
2025-09-21,182.5,12.9
2025-09-22,222.5,11.6
2025-09-23,223.8,14.0
2025-09-24,220.6,11.5
2025-09-25,218.5,12.1
2025-09-26,219.4,13.7
2025-09-27,190.3,14.0
2025-09-28,187.9,11.7
2025-09-29,228.2,13.2
2025-09-30,226.4,12.2
2025-10-01,219.6,11.9
2025-10-02,220.3,13.9
2025-10-03,224.0,15.7
2025-10-04,188.0,15.1
2025-10-05,189.4,13.5
2025-10-06,228.2,13.3
2025-10-07,225.3,16.0
2025-10-08,221.1,16.9
2025-10-09,222.9,16.7
2025-10-10,224.3,15.5
2025-10-11,191.0,15.7
2025-10-12,187.1,16.4
2025-10-13,227.1,15.5
2025-10-14,228.6,16.6
2025-10-15,227.7,17.5
2025-10-16,223.5,16.3
2025-10-17,224.9,14.7
2025-10-18,194.5,15.7
2025-10-19,191.2,18.2
2025-10-20,227.2,16.6
2025-10-21,229.8,15.4
2025-10-22,228.9,15.7
2025-10-23,226.5,17.9
2025-10-24,225.8,16.9
2025-10-25,192.6,18.1
2025-10-26,189.8,16.4
2025-10-27,231.7,19.3
2025-10-28,228.1,19.0
2025-10-29,226.7,16.5
2025-10-30,228.7,17.6
2025-10-31,225.8,19.2
2025-11-01,196.7,19.9
2025-11-02,194.5,17.4
2025-11-03,232.9,18.6
2025-11-04,228.5,17.0
2025-11-05,229.8,19.8
2025-11-06,226.5,18.2
2025-11-07,228.9,17.3
2025-11-08,195.4,21.3
2025-11-09,193.7,21.4
2025-11-10,231.4,18.3
2025-11-11,231.9,18.9
2025-11-12,229.1,19.5
2025-11-13,228.4,20.7
2025-11-14,230.5,19.4
2025-11-15,200.6,19.5
2025-11-16,194.3,20.7
2025-11-17,234.8,20.7
2025-11-18,231.1,19.8
2025-11-19,229.6,19.9
2025-11-20,231.0,19.6
2025-11-21,230.1,21.6
2025-11-22,198.2,19.4
2025-11-23,194.3,19.2
2025-11-24,236.0,19.9
2025-11-25,233.6,20.7
2025-11-26,233.1,22.9
2025-11-27,232.8,21.1
2025-11-28,231.0,22.9
2025-11-29,200.4,22.9
2025-11-30,198.7,21.4
2025-12-01,234.4,22.2
2025-12-02,236.5,20.6
2025-12-03,232.1,22.0
2025-12-04,234.8,21.9
2025-12-05,236.1,23.4
2025-12-06,202.5,20.3
