amount,hour,distance_km,merchant_type,new_device,status
13.98,17,7.8,online,no,clean
21.23,15,5.3,grocery,no,clean
108.25,21,0.4,electronics,yes,clean
23.01,11,5.4,online,yes,clean
22.87,13,5.9,travel,no,clean
84.81,12,6.7,grocery,no,clean
21.33,21,5.7,grocery,no,clean
48.35,13,3.6,grocery,yes,clean
13.63,19,1.5,grocery,no,clean
100.84,6,70.2,online,yes,fraud
43.24,17,0.6,grocery,no,clean
70.07,2,10.5,online,yes,fraud
55.45,17,7.1,travel,no,clean
7.74,16,10.9,grocery,no,clean
902.98,4,13.9,travel,no,fraud
53.94,15,4.1,grocery,no,clean
18.95,12,10.2,electronics,no,clean
21.68,13,6.9,electronics,no,clean
116.29,16,3.7,electronics,no,clean
75.58,19,9.6,online,no,clean
213.38,1,91.6,electronics,no,fraud
33.46,14,17.2,online,no,clean
112.53,0,18.5,online,yes,fraud
48.93,13,8.1,grocery,no,clean
96.48,13,12.7,electronics,no,clean
13.97,13,10.3,electronics,no,clean
80.96,11,9.7,travel,no,clean
103.14,18,14.5,travel,yes,clean
38.76,12,3.5,online,no,clean
25.61,13,15.5,online,no,clean
50.78,17,2.2,grocery,no,clean
47.3,17,5.0,travel,no,clean
66.11,15,7.9,grocery,no,clean
121.57,6,10.1,online,no,fraud
38.0,6,8.5,online,no,clean
49.55,9,12.3,grocery,no,clean
93.64,6,3.8,electronics,no,clean
26.23,15,3.0,grocery,no,clean
21.39,17,4.0,grocery,yes,clean
9.25,13,6.0,travel,no,clean
32.72,18,2.7,electronics,no,clean
6.91,12,18.8,grocery,no,clean
126.43,15,15.7,electronics,no,clean
448.88,1,31.7,grocery,yes,fraud
106.91,15,3.5,online,no,clean
46.22,19,3.4,grocery,no,clean
61.85,19,20.6,grocery,no,clean
23.35,16,20.9,electronics,no,clean
181.21,23,9.1,online,no,clean
18.73,11,4.7,online,no,clean
33.26,15,1.5,electronics,no,clean
53.91,12,28.1,online,yes,clean
17.26,11,1.0,electronics,no,clean
18.29,21,3.7,online,no,clean
97.52,16,0.3,grocery,no,clean
34.59,8,22.3,grocery,no,clean
22.98,14,15.4,grocery,no,clean
26.77,11,92.5,online,no,clean
29.11,10,10.1,grocery,no,clean
15.39,18,18.1,online,no,clean
80.31,14,13.7,grocery,no,clean
38.8,21,30.7,electronics,no,clean
7.96,9,12.7,online,yes,clean
110.18,18,33.4,electronics,yes,clean
34.45,6,9.2,electronics,no,clean
8.09,23,3.1,grocery,no,clean
7.9,19,10.5,grocery,no,clean
63.98,13,1.0,online,no,clean
13.46,5,12.1,grocery,no,clean
62.12,13,3.1,online,yes,clean
280.87,23,2.2,travel,no,fraud
28.19,6,0.8,travel,no,clean
58.19,13,21.9,online,yes,clean
3.45,14,29.1,grocery,no,clean
22.25,12,3.5,electronics,no,clean
9.39,14,3.0,grocery,yes,clean
26.11,18,4.9,grocery,no,clean
15.13,13,1.6,grocery,no,clean
15.38,19,1.6,electronics,no,clean
68.55,10,2.5,grocery,no,clean
133.5,9,18.3,online,no,clean
