sepal_length,sepal_width,petal_length,petal_width,species
5.0,3.7,1.6,0.3,setosa
5.0,3.4,1.5,0.3,setosa
4.8,3.9,1.7,0.3,setosa
5.4,3.8,1.5,0.2,setosa
5.3,3.0,1.6,0.3,setosa
4.8,2.8,1.6,0.3,setosa
5.1,2.6,1.6,0.3,setosa
5.0,3.1,1.3,0.4,setosa
5.0,3.0,1.7,0.2,setosa
5.2,3.0,1.5,0.2,setosa
6.9,2.5,4.2,1.7,versicolor
6.6,2.8,4.3,1.3,versicolor
5.4,3.1,4.8,1.6,versicolor
6.5,2.9,4.9,1.3,versicolor
7.0,2.9,4.2,1.3,versicolor
6.0,3.0,4.7,1.7,versicolor
7.1,3.0,4.9,1.6,versicolor
5.7,2.7,4.4,1.6,versicolor
5.5,3.5,4.2,1.3,versicolor
5.8,2.5,4.6,1.5,versicolor
7.7,2.9,5.9,2.1,virginica
7.0,2.4,5.6,2.0,virginica
6.1,3.2,6.0,2.1,virginica
6.7,2.7,5.7,1.8,virginica
7.0,2.8,5.0,2.1,virginica
6.4,2.4,5.9,2.1,virginica
7.1,2.6,5.4,2.2,virginica
7.0,2.9,5.8,1.9,virginica
5.8,2.9,5.1,1.7,virginica
7.2,2.7,6.0,1.8,virginica
